Order_ID,Order_Date,Customer_ID,Product,Region,Quantity,Unit_Price,Discount,Payment_Method,Category,Revenue,Month
10001,2025-12-30,1103,Smartwatch,West,1,10000,0.15,UPI,Wearables,8500.0,2025-12
10002,2025-04-05,1180,Laptop,East,5,25000,0.0,UPI,Electronics,125000.0,2025-04
10003,2025-01-11,1093,Keyboard,East,2,10000,0.0,Debit Card,Accessories,20000.0,2025-01
10004,2025-03-09,1015,Headphones,South,3,1500,0.2,Credit Card,Accessories,3600.0,2025-03
10005,2025-07-29,1107,Smartphone,West,1,50000,0.0,UPI,Electronics,50000.0,2025-07
10006,2025-07-15,1072,Laptop,East,1,1500,0.15,Net Banking,Electronics,1275.0,2025-07
10007,2025-04-08,1189,Monitor,North,1,1500,0.2,UPI,Electronics,1200.0,2025-04
10008,2025-04-03,1021,Mouse,East,3,1000,0.1,UPI,Accessories,2700.0,2025-04
10009,2025-01-22,1103,Keyboard,North,3,1000,0.0,Debit Card,Accessories,3000.0,2025-01
10010,2025-06-21,1122,Smartphone,South,4,10000,0.05,Net Banking,Electronics,38000.0,2025-06
10011,2025-05-14,1075,Smartwatch,North,2,1500,0.0,UPI,Wearables,3000.0,2025-05
10012,2025-01-25,1088,Smartphone,East,4,1000,0.1,UPI,Electronics,3600.0,2025-01
10013,2025-07-04,1117,Headphones,East,2,500,0.2,Net Banking,Accessories,800.0,2025-07
10014,2025-03-26,1100,Smartwatch,East,3,10000,0.1,Credit Card,Wearables,27000.0,2025-03
10015,2025-02-24,1104,Headphones,South,3,25000,0.05,Credit Card,Accessories,71250.0,2025-02
10016,2025-09-08,1152,Monitor,South,4,50000,0.15,UPI,Electronics,170000.0,2025-09
10017,2025-05-24,1131,Mouse,West,5,5000,0.0,UPI,Accessories,25000.0,2025-05
10018,2025-12-17,1150,Monitor,East,4,10000,0.2,Credit Card,Electronics,32000.0,2025-12
10019,2025-06-16,1053,Laptop,North,2,5000,0.15,Debit Card,Electronics,8500.0,2025-06
10020,2025-08-12,1002,Laptop,South,4,1500,0.1,Net Banking,Electronics,5400.0,2025-08
10021,2025-08-08,1088,Monitor,East,1,50000,0.2,Net Banking,Electronics,40000.0,2025-08
10022,2025-06-28,1158,Mouse,East,2,5000,0.15,Debit Card,Accessories,8500.0,2025-06
10023,2025-04-29,1038,Monitor,South,2,1500,0.2,Debit Card,Electronics,2400.0,2025-04
10024,2025-09-22,1130,Mouse,West,5,500,0.05,Debit Card,Accessories,2375.0,2025-09
10025,2025-05-30,1192,Mouse,South,3,5000,0.05,Debit Card,Accessories,14250.0,2025-05
10026,2025-08-03,1188,Tablet,South,2,50000,0.0,Debit Card,Electronics,100000.0,2025-08
10027,2025-07-16,1021,Smartwatch,North,3,10000,0.0,Debit Card,Wearables,30000.0,2025-07
10028,2025-02-11,1161,Keyboard,North,4,1500,0.05,Net Banking,Accessories,5700.0,2025-02
10029,2025-02-22,1058,Mouse,West,1,10000,0.2,Debit Card,Accessories,8000.0,2025-02
10030,2025-11-26,1022,Headphones,East,5,50000,0.05,Credit Card,Accessories,237500.0,2025-11
10031,2025-09-08,1089,Mouse,South,3,1000,0.0,Debit Card,Accessories,3000.0,2025-09
10032,2025-10-22,1049,Mouse,West,2,1500,0.05,Debit Card,Accessories,2850.0,2025-10
10033,2025-09-28,1059,Mouse,North,3,5000,0.05,Net Banking,Accessories,14250.0,2025-09
10034,2025-05-03,1170,Tablet,South,2,1500,0.2,Net Banking,Electronics,2400.0,2025-05
10035,2025-12-05,1188,Smartwatch,East,3,10000,0.15,Debit Card,Wearables,25500.0,2025-12
10036,2025-09-23,1015,Tablet,North,2,500,0.0,Net Banking,Electronics,1000.0,2025-09
10037,2025-12-14,1190,Laptop,North,4,1500,0.2,UPI,Electronics,4800.0,2025-12
10038,2025-01-29,1190,Tablet,North,2,5000,0.05,Net Banking,Electronics,9500.0,2025-01
10039,2025-02-04,1175,Headphones,West,2,1000,0.05,Net Banking,Accessories,1900.0,2025-02
10040,2025-01-06,1190,Headphones,East,1,25000,0.15,Net Banking,Accessories,21250.0,2025-01
10041,2025-04-21,1051,Tablet,South,2,500,0.0,Net Banking,Electronics,1000.0,2025-04
10042,2025-10-21,1108,Smartwatch,West,1,1000,0.0,Credit Card,Wearables,1000.0,2025-10
10043,2025-03-18,1055,Monitor,West,5,1500,0.1,Credit Card,Electronics,6750.0,2025-03
10044,2025-12-15,1064,Keyboard,West,1,10000,0.0,Credit Card,Accessories,10000.0,2025-12
10045,2025-05-27,1131,Smartwatch,North,4,50000,0.15,Debit Card,Wearables,170000.0,2025-05
10046,2025-03-08,1051,Tablet,East,1,10000,0.1,Debit Card,Electronics,9000.0,2025-03
10047,2025-01-08,1135,Mouse,West,5,5000,0.1,UPI,Accessories,22500.0,2025-01
10048,2025-05-02,1021,Smartphone,South,4,10000,0.05,Credit Card,Electronics,38000.0,2025-05
10049,2025-12-06,1073,Keyboard,East,3,500,0.05,Debit Card,Accessories,1425.0,2025-12
10050,2025-06-24,1167,Keyboard,South,3,10000,0.0,Net Banking,Accessories,30000.0,2025-06
10051,2025-06-28,1018,Headphones,East,1,5000,0.1,Net Banking,Accessories,4500.0,2025-06
10052,2025-03-26,1132,Keyboard,South,1,25000,0.05,Credit Card,Accessories,23750.0,2025-03
10053,2025-02-14,1089,Tablet,North,5,1500,0.15,UPI,Electronics,6375.0,2025-02
10054,2025-05-16,1060,Mouse,West,5,50000,0.05,UPI,Accessories,237500.0,2025-05
10055,2025-12-09,1014,Mouse,South,2,1500,0.05,Net Banking,Accessories,2850.0,2025-12
